timestamp,traffic_mbps,latency_ms,packet_loss_rate,cpu_usage,memory_usage,disk_io_mbps,network_errors,temperature_c,is_anomaly,anomaly_score
2025-08-05 13:22:22,598.87,3.38,0.0026,0.639,0.549,81.6,0,46.8,False,0.0
2025-08-05 13:27:22,639.98,3.21,0.0026,0.54,0.502,76.4,1,37.8,False,0.0
2025-08-05 13:32:22,524.89,3.07,0.0019,0.456,0.464,71.6,1,41.8,False,0.0
2025-08-05 13:37:22,517.9,3.14,0.0022,0.533,0.569,73.2,0,40.2,False,0.0
2025-08-05 13:42:22,624.94,2.83,0.0024,0.465,0.446,68.5,5,41.3,False,0.0
2025-08-05 13:47:22,535.05,3.83,0.002,0.496,0.472,58.3,1,42.8,False,0.0
2025-08-05 13:52:22,504.98,3.75,0.0028,0.61,0.519,77.9,2,44.7,False,0.0
2025-08-05 13:57:22,526.3,3.85,0.003,0.56,0.554,79.6,2,42.1,False,0.0
2025-08-05 14:02:22,307.95,3.71,0.0022,0.47,0.491,47.1,1,46.2,False,0.0
2025-08-05 14:07:22,476.07,3.19,0.002,0.51,0.539,73.6,0,43.7,False,0.0
2025-08-05 14:12:22,627.28,3.39,0.002,0.519,0.5,68.2,1,35.0,False,0.0
2025-08-05 14:17:22,545.17,3.13,0.0018,0.477,0.503,86.6,0,42.5,False,0.0
2025-08-05 14:22:22,364.03,3.29,0.0022,0.608,0.538,83.8,0,46.2,False,0.0
2025-08-05 14:27:22,516.94,3.87,0.0026,0.525,0.483,86.5,1,38.9,False,0.0
2025-08-05 14:32:22,478.05,3.76,0.0031,0.529,0.512,69.2,0,40.0,False,0.0
2025-08-05 14:37:22,555.42,3.61,0.0021,0.466,0.46,63.0,2,43.3,False,0.0
2025-08-05 14:42:22,491.57,3.2,0.0015,0.954,0.895,65.8,4,64.3,True,0.6
2025-08-05 14:47:22,460.38,3.67,0.0017,0.448,0.445,72.5,2,45.0,False,0.0
2025-08-05 14:52:22,407.94,2.91,0.0026,0.473,0.526,72.7,1,37.6,False,0.0
2025-08-05 14:57:22,514.77,2.76,0.0024,0.474,0.511,72.1,2,41.6,False,0.0
2025-08-05 15:02:22,446.08,3.6,0.0022,0.356,0.448,59.4,1,39.1,False,0.0
2025-08-05 15:07:22,390.36,3.61,0.0027,0.37,0.49,66.1,3,37.4,False,0.0
2025-08-05 15:12:22,527.47,3.74,0.0026,0.451,0.471,72.7,1,39.8,False,0.0
2025-08-05 15:17:22,488.35,2.28,0.0023,0.397,0.461,50.8,2,38.9,False,0.0
2025-08-05 15:22:22,672.92,4.1,0.0028,0.46,0.484,70.4,0,39.5,False,0.0
2025-08-05 15:27:22,549.99,2.79,0.0029,0.401,0.451,63.3,2,35.2,False,0.0
2025-08-05 15:32:22,511.98,4.0,0.0015,0.51,0.482,58.2,1,42.0,False,0.0
2025-08-05 15:37:22,631.56,1.56,0.0016,0.406,0.425,76.9,1,35.8,False,0.0
2025-08-05 15:42:22,486.48,4.35,0.0023,0.464,0.479,67.0,2,46.4,False,0.0
2025-08-05 15:47:22,382.77,3.52,0.0022,0.44,0.473,59.2,0,41.6,False,0.0
2025-08-05 15:52:22,432.02,3.0,0.0026,0.491,0.507,74.9,1,43.9,False,0.0
2025-08-05 15:57:22,424.99,3.17,0.0022,0.482,0.475,73.7,2,41.4,False,0.0
2025-08-05 16:02:22,558.82,3.09,0.0024,0.351,0.45,53.8,2,33.4,False,0.0
2025-08-05 16:07:22,418.64,3.66,0.0024,0.398,0.478,59.7,0,37.3,False,0.0
